Frases;Sentimento
A pressão da concorrência obrigava a empresa a investir em inovação.;Medo
A ameaça de perder o emprego pressionava o funcionário a melhorar seu desempenho.;Medo
A pressão dos colegas motivou o estudante a se preparar melhor para a prova.;Medo
A crise política pressionava o presidente a tomar medidas impopulares.;Medo
A pressão da torcida fazia com que o atleta se dedicasse ainda mais nos treinos.;Medo
A pressão dos credores levou a empresa a negociar um plano de recuperação financeira.;Medo
O condenado foi levado para a prisão para cumprir sua pena.;Medo
A rebelião na prisão resultou em feridos entre os detentos e os agentes penitenciários.;Medo
A superlotação da prisão era um problema que afetava a segurança e a saúde dos presos.;Medo
A visita à prisão era restrita aos familiares dos detentos.;Medo
A prisão domiciliar foi concedida ao réu devido a problemas de saúde.;Medo
A fuga da prisão foi facilitada por um túnel escavado pelos presos.;Medo
A prisão provisória foi determinada pelo juiz até que o processo fosse concluído.;Medo
A vida na prisão era marcada pela rotina rigorosa e pela falta de liberdade.;Medo
A prisão preventiva foi decretada para evitar que o suspeito atrapalhasse as investigações.;Medo
A transferência do preso foi realizada para melhorar sua segurança dentro da prisão.;Medo
A prisão domiciliar foi concedida ao idoso para que ele pudesse receber cuidados médicos em casa.;Medo
A assistência religiosa na prisão era oferecida por voluntários.;Medo
A prisão de políticos corruptos foi comemorada pela população.;Medo
A reintegração social dos detentos era uma das metas do programa de ressocialização na prisão.;Medo
A libertação do preso foi concedida após revisão de seu caso pelo tribunal.;Medo
As investigações policiais foram encerradas devido a processos inconclusivos.;Medo
O processo judicial foi arquivado por falta de provas e inconclusividade dos fatos.;Medo
Os resultados da pesquisa foram considerados inconclusivos e precisaram ser reavaliados.;Medo
A análise dos dados da experiência foi inconclusiva, não permitindo tirar uma conclusão definitiva.;Medo
O relatório final do projeto foi considerado inconclusivo devido a problemas no método de coleta de dados.;Medo
O inquérito sobre o acidente de trânsito resultou em conclusões inconclusivas.;Medo
A análise da amostra coletada no crime foi considerada inconclusiva pelos peritos.;Medo
A avaliação do desempenho do aluno foi considerada inconclusiva devido à falta de dados relevantes.;Medo
O diagnóstico médico foi inconclusivo, exigindo exames adicionais para confirmar a doença.;Medo
A avaliação do projeto piloto foi considerada inconclusiva, e novas fases precisaram ser planejadas.;Medo
A investigação do incidente na empresa foi inconclusiva, e as causas não puderam ser determinadas.;Medo
A análise dos documentos apresentados no processo foi inconclusiva, e a autenticidade foi questionada.;Medo
A pesquisa sobre o impacto ambiental foi considerada inconclusiva devido à falta de dados suficientes.;Medo
A análise do mercado indicou resultados inconclusivos, e novos estudos serão necessários.;Medo
A pesquisa de satisfação dos clientes foi considerada inconclusiva devido à baixa taxa de resposta.;Medo
A proibição de fumar em locais públicos melhorou a qualidade do ar para todos.;Medo
A proibição do uso de celulares durante as aulas reduziu as distrações dos alunos.;Medo
A proibição da venda de bebidas alcoólicas para menores de idade é uma medida importante.;Medo
A proibição de caça a certas espécies protegeu a fauna local da extinção.;Medo
A proibição de estacionar naquele local evitou congestionamentos na área.;Medo
A proibição do uso de agrotóxicos protegeu a saúde dos agricultores e consumidores.;Medo
A proibição de uso de animais em testes de cosméticos é uma vitória para a causa animal.;Medo
A proibição de plásticos de uso único ajudou a reduzir a poluição ambiental.;Medo
A proibição de discriminação por gênero promoveu a igualdade no local de trabalho.;Medo
A proibição de acesso a certos sites protegeu a segurança da rede corporativa.;Medo
A proibição de manifestações foi imposta devido à situação de segurança no país.;Medo
A proibição de animais de estimação no prédio causou insatisfação entre os moradores.;Medo
A proibição de construção na área de preservação ambiental garantiu a preservação do ecossistema.;Medo
A proibição de venda de certos medicamentos sem receita protegeu a saúde pública.;Medo
A proibição de importação de determinados produtos estimulou a indústria local.;Medo
A punição para crimes graves inclui pena de prisão perpétua.;Medo
A punição para o vandalismo é uma multa e serviços comunitários.;Medo
A punição para o roubo é a devolução do objeto roubado e pagamento de multa.;Medo
A punição para corrupção pode resultar em perda de cargo e prisão.;Medo
A punição para dirigir embriagado é a suspensão da carteira de motorista.;Medo
A punição para fraude fiscal é o pagamento de multas e pena de prisão.;Medo
A punição para agressão física pode variar de acordo com a gravidade do caso.;Medo
A punição para o uso de drogas pode ser tratamento de reabilitação.;Medo
A punição para falsificação de documentos é uma pena de prisão.;Medo
A punição para plágio acadêmico pode ser a reprovação na disciplina.;Medo
A punição para abuso de animais é o pagamento de multas e proibição de criação.;Medo
A punição para calúnia pode ser pagamento de indenização à vítima.;Medo
A punição para negligência médica pode ser perda de licença profissional.;Medo
A punição para crimes cibernéticos pode incluir pena de prisão e multas.;Medo
A punição para tráfico de drogas pode ser pena de prisão e confisco de bens.;Medo
A decisão do juiz foi questionável, levantando dúvidas sobre sua imparcialidade.;Medo
A qualidade do produto era questionável, o que levou muitos clientes a desistirem da compra.;Medo
A veracidade das informações fornecidas era questionável, pois não havia fontes confiáveis.;Medo
A eficácia do tratamento alternativo era questionável, pois não havia estudos científicos que comprovassem sua efetividade.;Medo
A atitude do político era questionável, pois suas ações não condiziam com seus discursos.;Medo
A legalidade da decisão tomada pela empresa era questionável, levando a possíveis processos judiciais.;Medo
A metodologia utilizada na pesquisa era questionável, prejudicando a validade dos resultados.;Medo
A ética do profissional foi questionável, pois suas práticas não respeitavam os princípios da profissão.;Medo
A fonte da notícia era questionável, já que o veículo de comunicação tinha histórico de publicar informações falsas.;Medo
A segurança do sistema de pagamento era questionável, o que gerava preocupação nos clientes.;Medo
A imparcialidade do julgamento foi questionável, levantando suspeitas de favorecimento.;Medo
A decisão da empresa de demitir funcionários em massa foi questionável, considerando que os resultados financeiros eram sólidos.;Medo
A confiabilidade do produto vendido por um vendedor ambulante era questionável, já que não havia garantia.;Medo
A conduta do atleta durante a competição era questionável, levantando suspeitas de doping.;Medo
A precisão dos dados apresentados na pesquisa era questionável, pois não havia informações sobre a metodologia utilizada.;Medo
Os moradores tinham receio de sair de casa devido ao aumento da violência na região.;Medo
O candidato tinha receio de não ser aceito na entrevista de emprego.;Medo
O paciente tinha receio de realizar a cirurgia devido aos riscos envolvidos.;Medo
Os pais tinham receio de que os filhos se envolvessem em más companhias.;Medo
A empresa tinha receio de perder clientes devido ao aumento dos preços.;Medo
O motorista tinha receio de dirigir durante a tempestade.;Medo
O atleta tinha receio de se lesionar antes da competição importante.;Medo
Os investidores tinham receio de investir na empresa devido à instabilidade do mercado.;Medo
O viajante tinha receio de perder o voo devido ao trânsito intenso.;Medo
A população tinha receio de um possível aumento de impostos.;Medo
Os estudantes tinham receio de tirar notas baixas nas provas.;Medo
Os empresários tinham receio de que a concorrência se tornasse mais acirrada.;Medo
Os agricultores tinham receio de que a safra fosse afetada pela seca.;Medo
Os funcionários tinham receio de serem demitidos devido à reestruturação da empresa.;Medo
Os passageiros tinham receio de viajar de avião devido a notícias sobre acidentes aéreos.;Medo
A economia do país entrou em recessão devido à crise financeira global.;Medo
A recessão econômica resultou no fechamento de várias empresas.;Medo
A alta taxa de desemprego foi uma consequência da recessão.;Medo
A queda nas vendas foi um reflexo da recessão econômica.;Medo
A recessão afetou negativamente o setor da construção civil.;Medo
A recessão levou ao corte de gastos do governo.;Medo
A indústria automobilística enfrentou dificuldades durante a recessão.;Medo
A recessão causou redução nos investimentos estrangeiros.;Medo
A recessão afetou o poder de compra da população.;Medo
A redução do consumo foi um dos efeitos da recessão.;Medo
A crise bancária contribuiu para a recessão econômica.;Medo
A recessão levou à diminuição dos salários dos trabalhadores.;Medo
A queda nas exportações agravou a recessão econômica.;Medo
A instabilidade política agravou a recessão no país.;Medo
A recessão resultou em déficit no orçamento do governo.;Medo
O exército foi obrigado a recuar após sofrer pesadas baixas no combate.;Medo
A empresa precisou recuar na decisão de aumentar os preços após a reação negativa dos clientes.;Medo
O político recuou em suas promessas de campanha após assumir o cargo.;Medo
O jogador de futebol recuou para auxiliar na defesa durante a partida.;Medo
A equipe de vendas teve que recuar diante da concorrência acirrada.;Medo
A empresa recuou na implementação de um novo sistema de gestão.;Medo
O investidor recuou em suas aplicações após receber informações negativas sobre o mercado.;Medo
O governo recuou na proposta de aumento de impostos devido à pressão popular.;Medo
O ator recuou em sua decisão de abandonar a carreira após conversas com seus agentes.;Medo
A negociação entre as empresas recuou devido a desentendimentos entre os executivos.;Medo
O plano de expansão da empresa foi recuado devido à falta de recursos financeiros.;Medo
O jogador de xadrez teve que recuar sua peça para evitar um xeque-mate.;Medo
O projeto de lei teve que ser recuado no Congresso devido à falta de apoio dos parlamentares.;Medo
O motorista teve que recuar o carro para evitar colisão com um pedestre.;Medo
O empreendedor recuou na decisão de abrir uma nova filial devido ao cenário econômico desfavorável.;Medo
A empresa implementou uma redução de custos para aumentar sua lucratividade.;Medo
O governo anunciou uma redução nos impostos para estimular o consumo.;Medo
A dieta rigorosa resultou na redução do peso do paciente.;Medo
A redução das tarifas de energia beneficiou os consumidores.;Medo
A redução do horário de trabalho foi uma medida adotada pela empresa para enfrentar a crise.;Medo
A redução das despesas com viagens foi uma estratégia para equilibrar o orçamento.;Medo
A empresa sofreu uma redução no quadro de funcionários devido à reestruturação.;Medo
A redução da poluição foi uma das metas ambientais da cidade.;Medo
A redução da velocidade foi necessária para evitar acidentes na via.;Medo
A redução da oferta de produtos resultou em aumento dos preços no mercado.;Medo
A empresa fez uma redução nas margens de lucro para atrair mais clientes.;Medo
A redução dos juros foi uma medida para estimular o investimento na economia.;Medo
A redução das exportações afetou o desempenho da indústria.;Medo
A empresa realizou uma redução nos investimentos devido ao cenário econômico incerto.;Medo
A redução da burocracia agilizou o processo de obtenção de licenças.;Medo
O aluno apresentou relutância em participar da apresentação em público.;Medo
O funcionário demonstrou relutância em assumir mais responsabilidades no trabalho.;Medo
A equipe tinha relutância em aceitar as mudanças propostas pela diretoria.;Medo
O paciente mostrou relutância em seguir o tratamento recomendado pelo médico.;Medo
A empresa enfrentou relutância dos fornecedores em aceitar novas condições de pagamento.;Medo
O atleta tinha relutância em aceitar a proposta do novo clube.;Medo
O governo encontrou relutância por parte da população em adotar medidas de austeridade.;Medo
A criança apresentou relutância em experimentar um novo alimento.;Medo
O investidor demonstrou relutância em investir em um mercado instável.;Medo
A equipe tinha relutância em confiar em um líder sem experiência.;Medo
A população mostrou relutância em apoiar o novo projeto de infraestrutura.;Medo
O cliente apresentou relutância em fechar o negócio devido ao preço elevado.;Medo
A diretoria enfrentou relutância dos acionistas em aprovar o novo plano estratégico.;Medo
O candidato mostrou relutância em aceitar a oferta de emprego devido à localização da empresa.;Medo
A equipe técnica tinha relutância em adotar novas tecnologias.;Medo
O chefe deu uma repreensão ao funcionário por chegar atrasado ao trabalho.;Medo
Os pais deram uma repreensão ao filho por não fazer as tarefas escolares.;Medo
O professor fez uma repreensão ao aluno por interromper a aula.;Medo
O líder da equipe fez uma repreensão aos membros por não cumprirem prazos.;Medo
O treinador deu uma repreensão aos jogadores por não seguirem a tática definida.;Medo
O supervisor fez uma repreensão ao colaborador por não seguir os procedimentos.;Medo
O diretor da escola fez uma repreensão aos estudantes por mau comportamento.;Medo
O gerente fez uma repreensão à equipe por não atingirem as metas estabelecidas.;Medo
O presidente da empresa fez uma repreensão aos diretores por não apresentarem resultados positivos.;Medo
O policial fez uma repreensão ao motorista por estacionar em local proibido.;Medo
O técnico deu uma repreensão ao atleta por comportamento antidesportivo.;Medo
O supervisor fez uma repreensão ao funcionário por não utilizar os equipamentos de segurança.;Medo
O diretor fez uma repreensão ao aluno por ter um desempenho acadêmico insatisfatório.;Medo
O líder religioso fez uma repreensão aos fiéis por não seguirem os princípios da fé.;Medo
O tutor fez uma repreensão ao aprendiz por cometer erros repetidamente.;Medo
O governo usou a força policial para reprimir os protestos dos manifestantes.;Medo
O diretor precisou reprimir a indisciplina dos alunos durante a assembleia.;Medo
A empresa adotou medidas para reprimir a pirataria de seus produtos.;Medo
O líder religioso pediu aos fiéis para reprimir pensamentos negativos.;Medo
O policial teve que reprimir o agressor para proteger a vítima.;Medo
A instituição de ensino buscou reprimir a prática de bullying entre os estudantes.;Medo
A legislação foi criada para reprimir a corrupção no setor público.;Medo
O treinador orientou os atletas a reprimir a raiva durante a competição.;Medo
A família tentou reprimir os gastos desnecessários para economizar.;Medo
A diretoria resolveu reprimir o uso inadequado da internet durante o expediente.;Medo
A comunidade decidiu reprimir a poluição no rio local.;Medo
A instituição promoveu campanhas para reprimir a discriminação e o preconceito.;Medo
O gerente adotou uma postura firme para reprimir o desrespeito entre os colaboradores.;Medo
O comandante ordenou reprimir qualquer tentativa de rebelião entre os soldados.;Medo
A população clamou por medidas mais severas para reprimir o tráfico de drogas.;Medo
Os trabalhadores organizaram uma resistência contra as más condições de trabalho.;Medo
A resistência do material usado na construção garantiu a segurança do prédio durante o terremoto.;Medo
A resistência da população foi determinante para a queda do regime ditatorial.;Medo
A resistência dos alunos fez com que a escola reconsiderasse a mudança no currículo.;Medo
A resistência do atleta o ajudou a superar os obstáculos durante a competição.;Medo
A resistência do paciente à medicação dificultou o tratamento da doença.;Medo
A resistência do tecido do produto tornou-o mais durável.;Medo
A resistência dos advogados levou ao adiamento do julgamento.;Medo
A resistência dos fios elétricos é medida em ohms.;Medo
A resistência da terra ao plantio levou à adoção de técnicas de adubação.;Medo
A resistência dos manifestantes levou à anulação da decisão do governo.;Medo
A resistência do exército inimigo prolongou o conflito.;Medo
A resistência dos pneus garantiu uma condução segura do veículo.;Medo
A resistência dos trabalhadores forçou a empresa a melhorar os benefícios oferecidos.;Medo
A resistência das articulações era essencial para a prática de certas atividades físicas.;Medo
A palestra teve uma ressonância positiva entre o público presente.;Medo
O discurso do líder político encontrou ressonância entre os eleitores.;Medo
A música provocou ressonância emocional no público, que aplaudiu de pé.;Medo
A pesquisa científica teve grande ressonância na comunidade acadêmica.;Medo
O livro alcançou ressonância internacional, sendo traduzido para diversos idiomas.;Medo
A notícia teve uma ressonância negativa na mídia, gerando críticas à empresa.;Medo
O projeto social encontrou ressonância junto a empresas que o apoiaram financeiramente.;Medo
A ação solidária teve uma ressonância surpreendente nas redes sociais.;Medo
O pronunciamento do presidente teve ressonância junto a líderes de outros países.;Medo
A campanha de conscientização sobre o meio ambiente alcançou ressonância nacional.;Medo
A pintura do artista encontrou ressonância junto a colecionadores de arte.;Medo
O novo produto lançado pela empresa teve ressonância junto aos consumidores.;Medo
O estilo literário do autor teve grande ressonância entre os leitores jovens.;Medo
O filme independente teve ressonância em festivais de cinema ao redor do mundo.;Medo
O acontecimento histórico teve ressonância ao longo dos séculos, influenciando gerações futuras.;Medo
A retração do mercado imobiliário afetou as vendas de imóveis.;Medo
A retração da economia resultou em demissões em massa.;Medo
A retração do músculo causou desconforto após o exercício físico.;Medo
A retração da oferta de produtos levou ao aumento dos preços.;Medo
A retração das vendas levou a empresa a adotar estratégias de marketing mais agressivas.;Medo
A retração da gengiva pode ser um sinal de problemas bucais.;Medo
A retração da pele com o passar dos anos é natural.;Medo
A retração da maré deixou à mostra várias conchas na praia.;Medo
A retração do tecido cicatricial pode causar dor após uma cirurgia.;Medo
A retração das pálpebras é um sintoma comum do envelhecimento.;Medo
A retração das exportações prejudicou a balança comercial do país.;Medo
A retração dos investimentos no setor de tecnologia afetou o desenvolvimento de novos produtos.;Medo
A retração da empresa foi resultado de má gestão financeira.;Medo
A retração dos preços das commodities afetou a economia do país.;Medo
A retração do mercado de trabalho tornou difícil encontrar novas oportunidades de emprego.;Medo
O lutador revidou o golpe do adversário com um soco certeiro.;Medo
Após receber críticas injustas, o cantor decidiu revidar nas redes sociais.;Medo
O time de futebol revidou o gol do adversário com uma jogada rápida.;Medo
Diante do ataque inesperado, o exército teve que revidar com intensidade.;Medo
O agredido teve coragem de revidar a agressão física.;Medo
O empresário revidou as acusações do concorrente em uma coletiva de imprensa.;Medo
A advogada revidou as críticas da outra parte durante o julgamento.;Medo
O criminoso revidou a abordagem policial com tiros.;Medo
O motorista revidou a ultrapassagem perigosa do outro veículo.;Medo
A vítima conseguiu revidar o roubo, recuperando seus pertences.;Medo
O professor revidou o desrespeito de um aluno em sala de aula.;Medo
A equipe de resgate teve que revidar a resistência do ferido para ser socorrido.;Medo
O nadador revidou a ultrapassagem de seu rival na última volta.;Medo
A atriz revidou as críticas dos jornalistas com ironia e bom humor.;Medo
O treinador orientou os jogadores a revidar a pressão do time adversário.;Medo
O investimento em ações representa um risco maior, mas também pode trazer maiores retornos.;Medo
A prática de esportes radicais envolve riscos à integridade física.;Medo
A exposição prolongada ao sol sem proteção representa um risco para a saúde da pele.;Medo
A falta de manutenção adequada do equipamento aumenta o risco de acidentes.;Medo
A decisão de tomar empréstimo para investir em negócios apresenta riscos financeiros.;Medo
A falta de seguro coloca o patrimônio em risco em caso de imprevistos.;Medo
A utilização de produtos químicos sem os devidos cuidados representa riscos à segurança.;Medo
A realização de experimentos sem o devido planejamento pode resultar em riscos para os pesquisadores.;Medo
A desatenção ao atravessar a rua aumenta o risco de atropelamentos.;Medo
A aceitação de encomendas de clientes desconhecidos envolve riscos de inadimplência.;Medo
A falta de backup dos dados coloca em risco a recuperação das informações em caso de falhas no sistema.;Medo
A resistência a seguir as normas de segurança coloca em risco a integridade de todos no ambiente de trabalho.;Medo
A decisão de realizar uma cirurgia representa riscos e benefícios a serem considerados.;Medo
A falta de planejamento adequado coloca em risco a conclusão do projeto dentro do prazo estabelecido.;Medo
A adoção de uma dieta não balanceada coloca em risco a saúde a longo prazo.;Medo
O atleta conseguiu romper o recorde mundial dos 100 metros rasos.;Medo
O contrato de trabalho foi rompido devido a divergências entre o empregado e o empregador.;Medo
O namoro chegou ao fim e o casal decidiu romper o relacionamento.;Medo
A corda não suportou o peso e acabou rompendo durante a escalada.;Medo
O acidente de carro fez o para-brisa romper-se em pedaços.;Medo
O acordo entre as empresas foi rompido devido a questões contratuais.;Medo
A tampa do frasco rompeu-se com o impacto da queda.;Medo
A ponte rompeu-se após as fortes chuvas e a enchente.;Medo
O advogado conseguiu romper o argumento do promotor durante o julgamento.;Medo
A empresa decidiu romper o contrato com o fornecedor devido a atrasos nas entregas.;Medo
O ciclista conseguiu romper a barreira do cansaço e continuar na competição.;Medo
O acordo de paz entre os países acabou sendo rompido após o incidente na fronteira.;Medo
A equipe rompeu a sequência de derrotas ao vencer o jogo decisivo.;Medo
A criança conseguiu romper o lacre da embalagem do brinquedo.;Medo
A cantora conseguiu romper as barreiras do preconceito e alcançar o sucesso.;Medo
O seguro insuficiente deixou o proprietário do carro com grandes prejuízos após o acidente.;Medo
O seguro insuficiente não cobriu todos os danos causados pelo incêndio na casa.;Medo
O seguro insuficiente deixou a empresa desamparada diante dos riscos de responsabilidade civil.;Medo
O motorista envolvido em um acidente de trânsito sem seguro teve que arcar com todos os prejuízos sozinho.;Medo
A empresa que sofreu um incêndio em seu estabelecimento sem seguro enfrentou dificuldades para se recuperar financeiramente.;Medo
O paciente que precisou de tratamento médico em outro país sem seguro de saúde teve que pagar todas as despesas do próprio bolso.;Medo
O proprietário do imóvel alugado que não tinha seguro contra danos causados pelos inquilinos teve prejuízos com a destruição do imóvel.;Medo
O cliente que teve seu smartphone roubado sem seguro teve que comprar outro aparelho.;Medo
O empresário que teve seu escritório invadido por hackers e não possuía seguro cibernético teve prejuízos com o vazamento de dados.;Medo
O viajante que teve a bagagem extraviada em uma viagem sem seguro de viagem teve dificuldades para recuperar seus pertences.;Medo
O proprietário do carro que sofreu uma pane mecânica em uma estrada remota sem seguro de assistência 24 horas ficou sem ajuda.;Medo
O segurado que cancelou sua apólice sem seguro de vida acabou deixando a família desamparada após seu falecimento.;Medo
O empreendedor que teve seu estoque roubado e não possuía seguro contra roubo teve grandes perdas financeiras.;Medo
O investidor que sofreu perdas no mercado financeiro sem seguro de investimento não recebeu nenhum tipo de compensação.;Medo
O proprietário que teve seu imóvel danificado por um vendaval sem seguro residencial teve que pagar pelos reparos.;Medo
O trabalhador que sofreu um acidente no trabalho sem seguro de acidentes pessoais não recebeu indenização por invalidez.;Medo
O viajante que teve um problema de saúde durante uma viagem ao exterior sem seguro de saúde internacional teve que arcar com os custos médicos.;Medo
O ciclista que teve sua bicicleta furtada sem seguro de bicicleta ficou sem meios para recuperar o bem perdido.;Medo
O acidente de trânsito resultou em ferimentos graves para os ocupantes do veículo.;Medo
A tempestade causou danos severos em várias residências da região.;Medo
O paciente foi internado em estado de saúde severo, necessitando de cuidados intensivos.;Medo
A seca severa prejudicou a agricultura e a disponibilidade de água potável.;Medo
A punição imposta pelo tribunal foi considerada severa pelos réus.;Medo
O acusado foi condenado a uma pena de prisão severa por seus crimes.;Medo
A depressão severa afetou a qualidade de vida do paciente.;Medo
O impacto ambiental causado pelo vazamento de óleo foi severo para o ecossistema marinho.;Medo
A crise econômica resultou em desemprego severo na região.;Medo
A punição para a infração de trânsito foi severa, resultando na suspensão da carteira de motorista.;Medo
A punição aplicada aos atletas por doping foi severa, resultando em suspensão das competições.;Medo
O líder político recebeu críticas severas devido a suas ações controversas.;Medo
A seca severa causou escassez de alimentos e água na região afetada.;Medo
A violação das regras de segurança resultou em um acidente de trabalho com consequências severas para o trabalhador.;Medo
A batalha contra a doença foi árdua e severa, mas o paciente conseguiu se recuperar.;Medo
O sinistro ocorreu em uma colisão entre dois carros no cruzamento.;Medo
O seguro foi acionado para cobrir os prejuízos causados pelo sinistro.;Medo
O incêndio no prédio comercial resultou em um sinistro de grandes proporções.;Medo
O corretor de seguros foi acionado para avaliar os danos do sinistro.;Medo
O sinistro foi registrado em um relatório para fins de indenização.;Medo
O motorista foi responsabilizado pelo sinistro e teve que pagar pelos danos causados.;Medo
A empresa de seguros enviou um perito para investigar as causas do sinistro.;Medo
O sinistro envolveu um atropelamento seguido de fuga do motorista responsável.;Medo
O segurado ficou aliviado ao saber que seu seguro cobria os danos do sinistro.;Medo
O sinistro causou danos materiais e lesões a terceiros.;Medo
O sinistro envolveu uma colisão entre um caminhão e um poste de energia elétrica.;Medo
A seguradora enviou um representante para realizar o levantamento dos danos do sinistro.;Medo
O sinistro aconteceu durante uma tempestade que causou grandes estragos.;Medo
O segurado entrou em contato com a seguradora logo após o sinistro.;Medo
A empresa de seguros avaliou os documentos apresentados para dar entrada no sinistro.;Medo
A vítima do acidente sofreu ferimentos graves e foi levada ao hospital.;Medo
O paciente sofreu com a doença durante meses, mas finalmente se recuperou.;Medo
A empresa sofreu com a crise econômica e precisou fazer cortes de pessoal.;Medo
A família sofreu com a perda de um ente querido em um acidente trágico.;Medo
O atleta sofreu uma lesão durante o jogo e precisou ser substituído.;Medo
O trabalhador sofreu um acidente de trabalho devido à falta de equipamentos de segurança.;Medo
O desempregado sofreu com a dificuldade de encontrar uma nova oportunidade de trabalho.;Medo
O paciente sofreu com as complicações da cirurgia e precisou de cuidados intensivos.;Medo
O morador sofreu com a falta de água e energia durante a tempestade.;Medo
O estudante sofreu com o estresse dos exames finais e provas.;Medo
O empresário sofreu com o prejuízo causado pelo incêndio em sua empresa.;Medo
O refugiado sofreu com a violência e as condições precárias de vida no campo de refugiados.;Medo
O idoso sofreu com a solidão após a perda do cônjuge.;Medo
O consumidor sofreu com o atendimento ruim e o produto defeituoso da empresa.;Medo
O ator sofreu com as críticas negativas ao seu último filme.;Medo
O futuro do país parece sombrio diante da instabilidade política e econômica.;Medo
O cenário econômico é sombrio, com previsões de recessão e desemprego.;Medo
O filme retrata um futuro sombrio em que a humanidade luta pela sobrevivência.;Medo
O relatório apresentou um quadro sombrio das consequências das mudanças climáticas.;Medo
A notícia trouxe informações sombrias sobre o aumento da violência na região.;Medo
O paciente recebeu um prognóstico sombrio sobre sua doença, com poucas chances de recuperação.;Medo
A história do livro é repleta de eventos sombrios e reviravoltas trágicas.;Medo
O advogado apresentou um panorama sombrio das possibilidades de defesa do réu.;Medo
A previsão do tempo para os próximos dias é de céu nublado e clima sombrio.;Medo
A situação financeira da empresa é sombria, com dívidas crescentes e poucas vendas.;Medo
O personagem principal enfrenta um passado sombrio e cheio de segredos.;Medo
A cidade enfrenta um momento sombrio devido aos altos índices de criminalidade.;Medo
A história da família é marcada por eventos sombrios e tragédias.;Medo
A atmosfera do lugar é sombria e misteriosa, com muitas histórias de fantasmas e assombrações.;Medo
O estado de espírito do personagem é sombrio, refletindo sua angústia e melancolia.;Medo
A empresa decidiu substituir o produto antigo por uma versão mais moderna.;Medo
O professor teve que substituir o colega ausente e dar a aula em seu lugar.;Medo
O técnico de futebol optou por substituir um jogador cansado por outro mais descansado.;Medo
A receita original foi modificada, substituindo alguns ingredientes por opções mais saudáveis.;Medo
A empresa precisou substituir o fornecedor anterior por um mais confiável.;Medo
O político renunciou e um novo líder foi escolhido para substituí-lo no cargo.;Medo
O médico prescreveu um medicamento diferente para substituir o que não estava surtindo efeito.;Medo
A peça de teatro foi cancelada, e outra produção foi escolhida para substituí-la na programação.;Medo
O engenheiro sugeriu substituir o material utilizado na construção por uma opção mais resistente.;Medo
O funcionário foi demitido e a empresa está buscando alguém para substituí-lo na equipe.;Medo
A tecnologia atual tende a substituir gradualmente os métodos tradicionais de produção.;Medo
O jogador de basquete torceu o tornozelo e precisou ser substituído na partida.;Medo
O cantor principal da banda decidiu sair e foi substituído por um novo integrante.;Medo
O modelo de negócio antigo foi abandonado, e uma nova estratégia foi desenvolvida para substituí-lo.;Medo
O político propôs uma lei para substituir a legislação vigente e atender às necessidades atuais.;Medo
O empreendedor superestimou a demanda pelo produto e acabou com um estoque excessivo.;Medo
O projeto foi superestimado em relação ao prazo de conclusão, e acabou levando mais tempo que o previsto.;Medo
O candidato superestimou suas habilidades e experiência durante a entrevista de emprego.;Medo
O valor do imóvel foi superestimado pelo proprietário, dificultando a venda.;Medo
A empresa superestimou o potencial do mercado e investiu em um segmento pouco promissor.;Medo
O atleta superestimou sua capacidade física e acabou se lesionando durante a competição.;Medo
O investidor superestimou o desempenho da empresa e acabou tendo prejuízos.;Medo
A capacidade da equipe foi superestimada e, como resultado, o projeto não foi concluído no prazo.;Medo
O estudante superestimou sua preparação para a prova e acabou indo mal no exame.;Medo
A qualidade do serviço foi superestimada pela empresa, levando a reclamações dos clientes.;Medo
O produto foi superestimado em relação às suas funcionalidades e acabou não atendendo às expectativas dos consumidores.;Medo
O desempenho do produto no mercado foi superestimado pelas projeções da empresa.;Medo
A viabilidade do projeto foi superestimada, e ele acabou sendo cancelado antes de ser concluído.;Medo
A confiança do investidor no mercado imobiliário foi superestimada, resultando em perdas financeiras.;Medo
A gravidade do problema de saúde foi superestimada pelo paciente, que acabou se recuperando mais rápido do que esperava.;Medo
Crianças pequenas são mais suscetíveis a infecções virais devido ao sistema imunológico ainda em desenvolvimento.;Medo
Idosos são mais suscetíveis a lesões em quedas devido à fragilidade dos ossos.;Medo
Pessoas com alergias são mais suscetíveis a reações adversas a certos alimentos ou substâncias.;Medo
Alguns indivíduos são mais suscetíveis a desenvolver ansiedade ou depressão em situações de estresse.;Medo
O sistema de segurança é suscetível a falhas caso não seja mantido adequadamente.;Medo
Certos tipos de plantas são mais suscetíveis a pragas e doenças do que outras.;Medo
Alguns computadores são mais suscetíveis a ataques de malware devido a vulnerabilidades em seus sistemas.;Medo
Pessoas com problemas respiratórios são mais suscetíveis a complicações causadas pela poluição do ar.;Medo
Animais de estimação mais idosos podem ser mais suscetíveis a problemas de saúde relacionados à idade.;Medo
Indivíduos com histórico familiar de determinadas doenças podem ser mais suscetíveis a desenvolvê-las.;Medo
Áreas de floresta densa são mais suscetíveis a incêndios florestais durante a temporada de seca.;Medo
Algumas culturas são mais suscetíveis a influências externas e mudanças culturais.;Medo
Pessoas sem imunização adequada são mais suscetíveis a contrair doenças infecciosas.;Medo
Certos materiais de construção são mais suscetíveis a danos causados por condições climáticas adversas.;Medo
Áreas costeiras são mais suscetíveis a inundações durante tempestades e marés altas.;Medo
O temor da população aumentou com a ocorrência de uma série de crimes na região.;Medo
